,Backtest Statistics
Start Date,2005-01-03
End Date,2025-04-30
Total Days,5114
Annualised Return,0.4395%
Annualised Volatility,3.3890%
Sharpe Ratio,0.1294
PSR (SR*=0),0.7206
DSR (N=50),0.0454
Max Drawdown,18.0670%
Time Under Water (d),3945
Calmar Ratio,0.0243
Hit Ratio,46.9626%
Profit Factor,1.0588
Peak Date,2023-09-14
Trough Date,2014-03-27
